time,treatment,mean,sd
0,Treated,1200,385.22720568516445
2,Treated,134,93.70165420097983
4,Treated,202,86.13942186943211
6,Treated,294,162.11107303327555
16,Treated,400,116.61903789690601
18,Treated,644,123.61229712289956
20,Treated,1232,396.8878934913485
22,Treated,2044,628.8720060552863
24,Treated,2868,1147.1355630438802
0,Untreated,20560,7482.512946864843
2,Untreated,43400,11958.260743101398
4,Untreated,52880,8100.123455849301
6,Untreated,64000,21478.826783602497
16,Untreated,95600,35767.30350473739
18,Untreated,113600,54541.72714537008
20,Untreated,180800,34542.72716506327
22,Untreated,242800,66054.52293370984
24,Untreated,375600,128293.80343570768
